domain,method,target_reach_count,target_reach_total,target_reach_rate_percent,trainable_parameters,parameter_reduction_percent,step_reduction_percent_mean,step_reduction_percent_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,robust_ten_percent_efficiency
autonomous_driving,trainable_svd,3,3,100.0,67059.0,11.971803252864966,-23.333333333333332,11.096362093077186,0.013266859265665213,0.0008241783408470323,0.07368921985228856,0.00798121159882979,False
autonomous_driving,trainable_tt_mps,0,3,0.0,42307.0,44.4636973444125,,,0.03847440145909786,0.02940076872611797,0.13858458896478018,0.055887570668262714,False
robotics,trainable_svd,0,3,0.0,58784.0,22.83437692802478,,,0.011115143541246653,0.003145102091263956,0.04417944326996803,0.004831997073557076,False
robotics,trainable_tt_mps,0,3,0.0,42307.0,44.4636973444125,,,0.05013266702493032,0.0040610481314515435,0.10504786670207977,0.025033135717079203,False
