domain,seed,matched_actor_parameters,qml_actor_parameters,matched_target_reached,qml_target_reached,matched_normalized_auc,qml_normalized_auc,normalized_auc_delta,matched_best_progress,qml_best_progress,best_progress_delta,matched_final_progress,qml_final_progress,final_progress_delta
autonomous_driving,42,54,54,False,False,-0.4033283648650451,0.07423257282304387,-0.47756093768808894,0.9664081813946608,0.34784085832466943,0.6185673230699913,0.34945825200049635,0.1511252671887569,0.19833298481173944
autonomous_driving,123,54,54,False,False,-0.1272364071623616,-0.22505780373000345,0.09782139656764186,0.4745510841414876,0.02300415840952612,0.4515469257319615,-0.7254745410053464,0.02300415840952612,-0.7484786994148724
autonomous_driving,456,54,54,False,False,0.006899553161205532,0.6305610860298821,-0.6236615328686766,0.65969480985502,0.9546368280151568,-0.29494201816013677,0.23079422845678788,0.8077380210659504,-0.5769437926091625
robotics,42,62,62,False,False,0.6112923854030039,0.36537714811873073,0.24591523728427317,0.8477611644025375,0.4913787263521762,0.35638243805036124,0.847080077698001,0.4913787263521762,0.35570135134582476
robotics,123,62,62,False,False,0.6210482812509162,0.6088422719444482,0.01220600930646798,0.8543994858563136,0.8340253643790764,0.020374121477237273,0.843548733907807,0.8340253643790764,0.009523369528730674
robotics,456,62,62,True,False,0.7268393843949651,0.7475079418964635,-0.02066855750149843,1.002794171832053,0.9502308753191346,0.052563296512918356,1.002794171832053,0.9502308753191346,0.052563296512918356
