domain,regime,condition,method,seed,metric,value,reference_value,delta,unit,source_artifact,source_sha256
autonomous_driving,clean,clean,lyapunov,42,critical_violation_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,episode_length,100.0,,,steps,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,intervention_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,mean_correction_l2,0.0,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,p95_correction_l2,0.0,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,reward,-11.330714319001789,,,reward,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,success_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,42,violation_step_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,clean,clean,lyapunov,123,constraint_violation_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,critical_violation_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,episode_length,100.0,,,steps,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,intervention_rate,0.839,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,mean_correction_l2,0.2459494072794914,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,p95_correction_l2,0.3328987002372742,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,reward,-8.588031328756164,,,reward,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,success_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,123,violation_step_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,clean,clean,lyapunov,456,constraint_violation_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,critical_violation_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,episode_length,100.0,,,steps,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,intervention_rate,0.4135,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,mean_correction_l2,0.19892772370576858,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,p95_correction_l2,0.5093212604522706,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,reward,4.2810686987899205,,,reward,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,success_rate,1.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,lyapunov,456,violation_step_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-456.json,2e0b6ca6828b249849b24f002da0141d92640013c72b8824acaffa4c269dd0a2
autonomous_driving,clean,clean,none,42,constraint_violation_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,critical_violation_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,episode_length,100.0,,,steps,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,intervention_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,mean_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,p95_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,reward,-11.330714319001789,,,reward,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
