domain,seed,policy,random_reference,target_reward,target_reached,steps_to_target,normalized_auc,best_normalized_progress,final_normalized_progress,best_reward,final_reward,actor_parameters
autonomous_driving,42,ppo,-49.532845889392334,-13.240820897521317,True,12000,0.2559311882665633,1.0526315789473686,1.0526315789473686,-11.330714319001789,-11.330714319001789,1318
autonomous_driving,123,ppo,-49.532845889392334,-8.172756779529806,True,15000,0.7591983067027264,1.0526315789473686,0.9867590719319397,-5.995909984273877,-8.720402744322062,1318
autonomous_driving,456,ppo,-49.532845889392334,-5.174479723234718,True,13000,0.6493048256739997,1.0526315789473684,0.9464567239435111,-2.839828872384318,-7.549571968284115,1318
autonomous_driving,42,qml,-49.532845889392334,-13.240820897521317,False,,0.07423257282304387,0.34784085832466943,0.1511252671887569,-36.908996765879564,-44.04820391567478,54
autonomous_driving,123,qml,-49.532845889392334,-8.172756779529806,False,,-0.22505780373000345,0.02300415840952612,0.02300415840952612,-48.58139184767694,-48.58139184767694,54
autonomous_driving,456,qml,-49.532845889392334,-5.174479723234718,False,,0.6305610860298821,0.9546368280151568,0.8077380210659504,-7.186715916596775,-13.702906984621373,54
robotics,42,ppo,-2.9319357876725434,0.5636223910245626,True,9000,0.8994016263564204,1.0526315789473686,1.0110541710883831,0.7475991372717792,0.6022628891812771,1382
robotics,123,ppo,-2.9319357876725434,0.5525752859984077,True,9000,0.9097163004503714,1.0526315789473686,1.0306841450047606,0.7359706056653001,0.6594945290536207,1382
robotics,456,ppo,-2.9319357876725434,0.6155900280889592,True,12000,0.9596232838027272,1.0526315789473686,1.005973280993265,0.8023019131290386,0.6367803966173644,1382
robotics,42,qml,-2.9319357876725434,0.5636223910245626,False,,0.36537714811873073,0.4913787263521762,0.4913787263521762,-1.2142928619344266,-1.2142928619344266,62
robotics,123,qml,-2.9319357876725434,0.5525752859984077,False,,0.6088422719444482,0.8340253643790764,0.8340253643790764,-0.025765169771201614,-0.025765169771201614,62
robotics,456,qml,-2.9319357876725434,0.6155900280889592,False,,0.7475079418964635,0.9502308753191346,0.9502308753191346,0.43903277345573655,0.43903277345573655,62
