domain,run_cells,total_environment_steps,action_bound,domain_constraint,lyapunov_decrease,none,intervention_steps,hard_guard_interventions,hard_guard_fraction_of_interventions,lyapunov_fraction_of_interventions,strict_lyapunov_decrease_steps,strict_decrease_rate_among_environment_steps,strict_decrease_rate_among_interventions,selected_lower_than_perturbed_steps,emergency_fallback_steps,activation_observed
autonomous_driving,36,72000,1248,30024,1584,39144,32856,31272,0.9517896274653032,0.04821037253469686,70,0.0009722222222222222,0.002130508887265644,2255,0,True
robotics,36,72000,245,5705,0,66050,5950,5950,1.0,0.0,0,0.0,0.0,2632,0,False
