domain,method,number_of_conditions,conditions_with_violation_growth,conditions_with_zero_violation_growth,worst_violation_delta,median_violation_delta,worst_reward_delta,median_reward_delta,highest_intervention_rate
autonomous_driving,none,10,4,0,0.006752166959034189,-0.0024745819614589715,-2.1269906486429204,-0.3354099666445256,0.0
autonomous_driving,clipping,10,0,10,0.0,0.0,-2.582322201569962,-0.4270265467666374,0.42416666666666664
autonomous_driving,lyapunov,10,0,10,0.0,0.0,-2.582322201569962,-0.4270265467666374,0.42416666666666664
robotics,none,12,5,0,0.020333333333333335,-0.0003333333333333323,-0.03831087219991628,-0.006480317282730944,0.0
robotics,clipping,12,0,12,0.0,0.0,-0.041698212398358546,-0.003075100767676105,0.035
robotics,lyapunov,12,0,12,0.0,0.0,-0.04170089928830234,-0.0030220078878264722,0.034833333333333334
