domain,method,perturbation_family,perturbation_name,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,none,lane_offset,lane_offset_minus_0p05,123,0.83,0.0,0.83,-5.704623190728994,0.0,0.0,0.0,-0.009000000000000008,0.0,-0.009000000000000008,3.015779553593066,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_minus_0p05,42,0.0,0.0,0.0,-11.41595745732496,0.0,0.0,0.0,0.0,0.0,0.0,-0.08524313832317176,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_minus_0p05,456,0.3331438317225696,0.059124502558271744,0.4877771461057419,-10.956918171540417,0.15,0.0,0.0,-0.0003788955501576319,-0.0005345883508191679,-0.0014273993488035375,-3.407346203256302,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_minus_0p10,123,0.0,0.0,0.0,-5.941620634513051,0.0,0.807,0.23456178605556488,0.0,0.0,0.0,2.646410694243113,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_minus_0p10,42,0.0,0.0,0.0,-11.540987603460955,0.0,0.0,0.0,0.0,0.0,0.0,-0.21027328445916638,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_minus_0p10,456,0.0,0.0,0.0,-3.983753054347758,1.0,0.4135,0.1985332806110382,0.0,0.0,0.0,-8.264821753137678,0.0,0.0,0.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_minus_0p10,123,0.0,0.0,0.0,-5.941620634513051,0.0,0.807,0.23456178605556488,0.0,0.0,0.0,2.646410694243113,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_minus_0p10,42,0.0,0.0,0.0,-11.540987603460955,0.0,0.0,0.0,0.0,0.0,0.0,-0.21027328445916638,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_minus_0p10,456,0.0,0.0,0.0,-3.983753054347758,1.0,0.4135,0.1985332806110382,0.0,0.0,0.0,-8.264821753137678,0.0,0.0,1.0,0
autonomous_driving,none,lane_offset,lane_offset_minus_0p10,123,0.8075,0.0,0.8075,-6.054800265335889,0.0,0.0,0.0,-0.03149999999999997,0.0,-0.03149999999999997,2.6656024789861705,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_minus_0p10,42,0.0,0.0,0.0,-11.540987603460955,0.0,0.0,0.0,0.0,0.0,0.0,-0.21027328445916638,0.0,0.0,0.0,0
