domain,method,perturbation_family,perturbation_name,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_constraint_violation_rate,critical_violation_step_rate,mean_reward,success_rate,intervention_rate,mean_safety_correction_l2,p95_safety_correction_l2,recovery_rate,within_filter_violation_reduction,executed_violation_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,selected_lower_than_perturbed_rate,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,environment_interface_adjustment_rate,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,steps_object_grasped,interventions_while_grasped,perturbed_unsafe_steps_while_grasped
autonomous_driving,clipping,acceleration,acceleration_plus_0p10,456,0.4245,0.0,0.0,0.0,4.110678838615973,1.0,0.4245,0.24686426293849945,0.61078941822052,1.0,1.0,0.0,-0.1703898601739473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849,849,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p10,123,1.0,0.0,0.0,0.0,-8.568795186978395,0.0,1.0,0.3838478281497955,0.4328978955745697,1.0,1.0,0.0,0.019236141777769333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p10,42,0.991,0.0,0.0,0.0,-11.27036007679064,0.0,0.991,0.3045168713629246,0.32580849528312683,1.0,1.0,0.0,0.060354242211149156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1982,1982,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p10,456,0.4245,0.0,0.0,0.0,4.110678838615973,1.0,0.4245,0.24686426293849945,0.61078941822052,1.0,1.0,0.0,-0.1703898601739473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,849,849,0,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p10,123,1.0,1.0,1.0,0.0,-8.849797706485143,0.0,0.0,0.0,0.0,0.0,0.0,0.16100000000000003,-0.129394962163083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0,2000,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p10,42,0.991,0.991,0.991,0.0,-11.382819831891513,0.0,0.0,0.0,0.0,0.0,0.0,0.991,-0.05210551288972454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,0,1982,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p10,456,0.3265067290813341,0.3265067290813341,0.521357519016969,0.056173200702165006,-7.563771292014917,0.15,0.0,0.0,0.0,0.0,0.0,-0.007015998191393147,-0.014199323730801794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558,0,558,0,0,0
autonomous_driving,clipping,acceleration,acceleration_plus_0p25,123,1.0,0.0,0.0,0.0,-8.568795186978395,0.0,1.0,0.5338478340506554,0.5828979015350342,1.0,1.0,0.0,0.019236141777769333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,clipping,acceleration,acceleration_plus_0p25,42,1.0,0.0,0.0,0.0,-11.298273349984601,0.0,1.0,0.4567596498131752,0.4758085012435913,1.0,1.0,0.0,0.032440969017187626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,clipping,acceleration,acceleration_plus_0p25,456,0.435,0.0,0.0,0.0,3.8341885686720385,1.0,0.4945,0.31990166610479354,0.7611243724822998,1.0,1.0,0.0,-0.44688013011788197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870,870,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p25,123,1.0,0.0,0.0,0.0,-8.568795186978395,0.0,1.0,0.5338478340506554,0.5828979015350342,1.0,1.0,0.0,0.019236141777769333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p25,42,1.0,0.0,0.0,0.0,-11.298273349984601,0.0,1.0,0.4567596498131752,0.4758085012435913,1.0,1.0,0.0,0.032440969017187626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,lyapunov,acceleration,acceleration_plus_0p25,456,0.435,0.0,0.0,0.0,3.8341885686720385,1.0,0.4945,0.31990166610479354,0.7611243724822998,1.0,1.0,0.0,-0.44688013011788197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,870,870,0,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p25,123,1.0,1.0,1.0,0.003,-9.117222761103148,0.0,0.0,0.0,0.0,0.0,0.0,0.16100000000000003,-0.39682001678108847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0,2000,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p25,42,1.0,1.0,1.0,0.0,-11.535130948936018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20441662993422938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0,2000,0,0,0
autonomous_driving,none,acceleration,acceleration_plus_0p25,456,0.3261776982707215,0.3261776982707215,0.516994633273703,0.059033989266547404,-9.299387481594191,0.05,0.0,0.0,0.0,0.0,0.0,-0.007345029002005732,-1.7498155133100761,-0.09999999999999999,0.0,0.0,0.0,0.07096004770423375,0.0,0.0,547,0,547,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p10,123,0.838,0.0,0.0,0.0,-8.36234800482734,0.0,0.838,0.2458742006421089,0.33291101455688477,1.0,1.0,0.0,0.22568332392882517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p10,42,0.0,0.0,0.0,0.0,-11.102353417465727,0.0,0.0,0.0,0.0,,,0.0,0.22836090153606214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p10,456,0.2525,0.2525,0.461,0.161,3.730923680847592,1.0,0.2525,0.10775719685852528,0.43809574842453003,0.0,0.0,0.2525,-0.5501450179423286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505,0,505,0,0,0
autonomous_driving,lyapunov,braking,braking_minus_0p10,123,0.838,0.0,0.0,0.0,-8.36234800482734,0.0,0.838,0.2458742006421089,0.33291101455688477,1.0,1.0,0.0,0.22568332392882517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,lyapunov,braking,braking_minus_0p10,42,0.0,0.0,0.0,0.0,-11.102353417465727,0.0,0.0,0.0,0.0,,,0.0,0.22836090153606214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
