domain,method,sigma,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,lyapunov,0.1,456,0.0,0.0,0.0,3.7561863561545965,1.0,0.413,0.19734126818180084,0.0,0.0,0.0,-0.524882342635324,0.0,0.0,1.0,0
autonomous_driving,none,0.01,123,0.8295,0.0,0.8295,-8.758871646983867,0.0,0.0,0.0,-0.009499999999999953,0.0,-0.009499999999999953,-0.03846890266180658,0.0,0.0,0.0,0
autonomous_driving,none,0.05,123,0.768,0.0,0.768,-8.85423914740187,0.0,0.0,0.0,-0.07099999999999995,0.0,-0.07099999999999995,-0.13383640307981004,0.0,0.0,0.0,0
autonomous_driving,none,0.1,123,0.6905,0.0,0.6905,-8.731277076462316,0.0,0.0,0.0,-0.14849999999999997,0.0,-0.14849999999999997,-0.010874332140256016,0.0,0.0,0.0,0
autonomous_driving,none,0.01,42,0.0,0.0,0.0,-11.299099054512856,0.0,0.0,0.0,0.0,0.0,0.0,0.03161526448893248,0.0,0.0,0.0,0
autonomous_driving,none,0.05,42,0.0,0.0,0.0,-11.404036705971789,0.0,0.0,0.0,0.0,0.0,0.0,-0.07332238697000015,0.0,0.0,0.0,0
autonomous_driving,none,0.1,42,0.0,0.0,0.0,-11.287350525499194,0.0,0.0,0.0,0.0,0.0,0.0,0.04336379350259456,0.0,0.0,0.0,0
autonomous_driving,none,0.01,456,0.33181818181818185,0.05965909090909091,0.48920454545454545,-7.580409712971241,0.15,0.0,0.0,-0.001704545454545403,0.0,0.0,-0.0308377446871253,0.0,0.0,0.0,0
autonomous_driving,none,0.05,456,0.3354143019296254,0.05959137343927355,0.4875141884222474,-7.735191891402646,0.15,0.0,0.0,0.001891574656898154,-6.771746981736049e-05,-0.0016903570322980288,-0.18561992311853093,0.0,0.0,0.0,0
autonomous_driving,none,0.1,456,0.33200908059023837,0.05959137343927355,0.48864926220204313,-7.959714856710419,0.15,0.0,0.0,-0.0015136466824888783,-6.771746981736049e-05,-0.0005552832525023144,-0.41014288842630364,0.0,0.0,0.0,0
robotics,clipping,0.01,123,0.0,0.0,0.0,0.7007750650695265,0.0,0.0085,0.004422053754329682,0.0,0.0,0.0,-0.0012194639840941157,0.0,0.0,0.0,0
robotics,clipping,0.05,123,0.0,0.0,0.0,0.6845167553109995,0.0,0.0085,0.00444909518957138,0.0,0.0,0.0,-0.01747777374262105,0.0,0.0,0.0,0
robotics,clipping,0.1,123,0.0,0.0,0.0,0.6510756274410028,0.0,0.0075,0.003995622098445892,0.0,0.0,0.0,-0.050918901612617806,0.0,0.0,0.0,70
robotics,clipping,0.01,42,0.0,0.0,0.0,0.6948094464834619,0.0,0.025,0.010488480657339094,0.0,0.0,0.0,-0.00011546329314215953,0.0,0.0,0.0,0
robotics,clipping,0.05,42,0.0,0.0,0.0,0.787002046129746,0.0,0.027,0.011877321794629095,0.0,0.0,0.0,0.09207713635314196,0.0,0.0,0.0,60
robotics,clipping,0.1,42,0.0,0.0,0.0,0.8597165549631447,0.0,0.0445,0.017271684199571605,0.0,0.0,0.0,0.16479164518654066,0.0,0.0,0.0,227
robotics,clipping,0.01,456,0.0,0.0,0.0,0.6367829686864632,0.0,0.0,0.0,0.0,0.0,0.0,2.5720690989272654e-06,0.0,0.0,0.0,0
robotics,clipping,0.05,456,0.0,0.0,0.0,0.6211357554741814,0.0,0.0,0.0,0.0,0.0,0.0,-0.01564464114318287,0.0,0.0,0.0,0
robotics,clipping,0.1,456,0.0,0.0,0.0,0.5378237294671548,0.0,0.001,0.0001943452358245847,0.0,0.0,0.0,-0.09895666715020945,0.0,0.0,0.0,0
robotics,lyapunov,0.01,123,0.0,0.0,0.0,0.7007750650695265,0.0,0.0085,0.004422053754329682,0.0,0.0,0.0,-0.0012194639840941157,0.0,0.0,1.0,0
robotics,lyapunov,0.05,123,0.0,0.0,0.0,0.6845167553109995,0.0,0.0085,0.00444909518957138,0.0,0.0,0.0,-0.01747777374262105,0.0,0.0,1.0,0
robotics,lyapunov,0.1,123,0.0,0.0,0.0,0.6510756274410028,0.0,0.0075,0.003995622098445892,0.0,0.0,0.0,-0.050918901612617806,0.0,0.0,1.0,70
robotics,lyapunov,0.01,42,0.0,0.0,0.0,0.69485148069471,0.0,0.0235,0.010498761922121048,0.0,0.0,0.0,-8.14897517253943e-05,0.0,0.0,1.0,0
robotics,lyapunov,0.05,42,0.0,0.0,0.0,0.7871312794150863,0.0,0.0255,0.011930396735668182,0.0,0.0,0.0,0.09219830896865089,0.0,0.0,1.0,60
