domain,method,configuration,target,selected_layer_count,compressed_layer_count,compression_ratio,mse_change_percent,mae_change_percent
autonomous_driving,svd,SVD-75%,fusion,2,2,1.0816117902628104,85.5906746530361,54.4682709699864
autonomous_driving,tensor_train,TT-rank-2,fusion,2,2,1.4102260315814805,2205.4767328485545,426.31964176428284
autonomous_driving,svd,SVD-75%,latent,2,2,1.0217962818896371,138.6459175655978,73.5661980324935
autonomous_driving,tensor_train,TT-rank-2,latent,2,2,1.0840128068303094,2138.054814955298,444.37585830142547
autonomous_driving,svd,SVD-75%,action,1,1,1.0040727560300513,289.8404912214037,156.64581012809504
autonomous_driving,tensor_train,TT-rank-2,action,1,1,1.0122244515606107,766.5709627106,250.53683046109367
autonomous_driving,svd,SVD-75%,fusion_latent,4,4,1.1071563526436647,152.00080067768593,81.72798803726108
autonomous_driving,tensor_train,TT-rank-2,fusion_latent,4,4,1.5832692507534034,2004.4051894243169,420.5175772901896
autonomous_driving,svd,SVD-75%,all,7,7,1.135999642106205,371.2739265946838,169.00273508155698
autonomous_driving,tensor_train,TT-rank-2,all,7,7,1.8006240102110762,1546.9435856559671,340.1644451305894
robotics,svd,SVD-50%,fusion,2,2,1.1731758400837773,680.5251881005373,362.8858846635807
robotics,tensor_train,TT-rank-2,fusion,2,2,1.4102260315814805,4742.054665803811,1185.282290955771
robotics,svd,SVD-50%,latent,2,2,1.0425625094089148,952.4017278777408,481.15478608215085
robotics,tensor_train,TT-rank-2,latent,2,2,1.0840128068303094,7053.881968820444,1427.859828069086
robotics,svd,SVD-50%,action,1,1,1.0066600594648167,186.9301196176095,192.772893891031
robotics,tensor_train,TT-rank-2,action,1,1,1.0122244515606107,2310.6656377053787,756.774538009529
robotics,svd,SVD-50%,fusion_latent,4,4,1.2321913819875776,1543.1547464751327,565.0218733204814
robotics,tensor_train,TT-rank-2,fusion_latent,4,4,1.5832692507534034,6651.427146437062,1367.9902793612514
robotics,svd,SVD-50%,all,7,7,1.295913854109962,2409.4321652026233,776.9485123011091
robotics,tensor_train,TT-rank-2,all,7,7,1.8006240102110762,4245.125515136211,1017.4386969089678
