domain,seed,trainable_parameters,best_validation_loss,best_epoch,final_validation_loss,target_validation_loss,epoch_to_target,steps_to_target,samples_to_target,seconds_to_target,total_training_seconds,mean_epoch_seconds
autonomous_driving,123,76179,0.014578625870247683,20,0.014578625870247683,0.015307557163760067,15,240,7680,5.758739499957301,7.6096500999701675,0.3804825049985084
autonomous_driving,42,76179,0.017008460126817226,20,0.017008460126817226,0.017858883133158088,14,224,7168,4.761861799983308,6.761752599995816,0.3380876299997908
autonomous_driving,456,76179,0.011023489913592735,17,0.011086995635802547,0.011574664409272373,14,224,7168,5.785434400080703,7.725083800032735,0.38625419000163674
robotics,123,76179,0.008530454632515708,16,0.008932138327509165,0.008956977364141494,16,256,8192,6.138865899964003,7.559608799929265,0.37798043999646325
robotics,42,76179,0.01678327618477245,15,0.01716120991234978,0.017622439994011075,11,176,5632,4.059061199979624,7.04760950000491,0.3523804750002455
robotics,456,76179,0.02097842834579448,20,0.02097842834579448,0.022027349763084205,12,192,6144,4.487141600053292,6.908916300046258,0.34544581500231286
