domain,method,principal_seed,sigma,violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,critical_delta_from_clean,constraint_violation_rate,constraint_delta_from_clean,reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,mean_noise_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,source
autonomous_driving,clipping,42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-11.404036705971789,-0.07332238697000015,0.0,0.0,0.0,0.0,0.0,0.09350435075256973,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-clipping-seed-42-sigma-0p05.json
autonomous_driving,clipping,42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-11.287350525499194,0.04336379350259456,0.0,0.0,0.0,0.0,0.0,0.18716779105365278,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-clipping-seed-42-sigma-0p10.json
autonomous_driving,clipping,456,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.244515910463473,-0.03655278832644715,1.0,0.0,0.412,0.19772421830892564,0.5263690948486328,0.018924409234779886,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-clipping-seed-456-sigma-0p01.json
autonomous_driving,clipping,456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.024336858219965,-0.25673184056995524,1.0,0.0,0.4135,0.19758527582883834,0.5600625276565552,0.09454082110570744,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-clipping-seed-456-sigma-0p05.json
autonomous_driving,clipping,456,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7561863561545965,-0.524882342635324,1.0,0.0,0.413,0.19734126818180084,0.6512019634246826,0.18742600656766445,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-clipping-seed-456-sigma-0p10.json
autonomous_driving,lyapunov,123,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-8.627335248865862,-0.03930392010969719,0.0,0.0,0.826,0.24276177263259888,0.4387552738189697,0.01885684373881668,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-123-sigma-0p01.json
autonomous_driving,lyapunov,123,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-8.72374327248333,-0.13571194372716633,0.0,0.0,0.7655,0.2308224923014641,0.46003270149230957,0.09426421787776053,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-123-sigma-0p05.json
autonomous_driving,lyapunov,123,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-8.599275223433608,-0.011243894677443578,0.0,0.0,0.6885,0.2180804049372673,0.4982494115829468,0.18993146084621548,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-123-sigma-0p10.json
autonomous_driving,lyapunov,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-11.299099054512856,0.03161526448893248,0.0,0.0,0.0,0.0,0.0,0.01870270391870872,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-42-sigma-0p01.json
autonomous_driving,lyapunov,42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-11.404036705971789,-0.07332238697000015,0.0,0.0,0.0,0.0,0.0,0.09350435075256973,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-42-sigma-0p05.json
autonomous_driving,lyapunov,42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-11.287350525499194,0.04336379350259456,0.0,0.0,0.0,0.0,0.0,0.18716779105365278,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-42-sigma-0p10.json
autonomous_driving,lyapunov,456,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.244515910463473,-0.03655278832644715,1.0,0.0,0.412,0.19772421830892564,0.5263690948486328,0.018924409234779886,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-456-sigma-0p01.json
autonomous_driving,lyapunov,456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.024336858219965,-0.25673184056995524,1.0,0.0,0.4135,0.19758527582883834,0.5600625276565552,0.09454082110570744,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-456-sigma-0p05.json
autonomous_driving,lyapunov,456,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7561863561545965,-0.524882342635324,1.0,0.0,0.413,0.19734126818180084,0.6512019634246826,0.18742600656766445,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-lyapunov-seed-456-sigma-0p10.json
