experiment_id,method,configuration,compression_ratio,storage_reduction_percent,parameter_reduction_percent,mse_change_percent,mae_change_percent,latency_change_percent,pilot_feasible
driving-int8-seed-42,int8,INT8,3.84625871,74.00070886,0.00000000,-0.09314163,0.56566556,-38.00030597,True
driving-svd-rf25-seed-42,svd,SVD-25%,1.52428117,34.39530579,34.39530579,1391.05639434,357.40051997,25.21836509,False
driving-svd-rf50-seed-42,svd,SVD-50%,1.29591385,22.83437693,22.83437693,757.82473042,233.54179239,52.14386421,False
driving-svd-rf75-seed-42,svd,SVD-75%,1.13599964,11.97180325,11.97180325,371.27392659,169.00273508,75.05759380,False
driving-tt-rank-2-seed-42,tensor_train,TT-rank-2,1.80062401,44.46369734,44.46369734,1546.94358566,340.16444513,-25.25555535,False
driving-tt-rank-4-seed-42,tensor_train,TT-rank-4,1.72557592,42.04833353,42.04833353,1894.20717732,401.39982078,-10.74899837,False
driving-tt-rank-8-seed-42,tensor_train,TT-rank-8,1.54024546,35.07528321,35.07528321,1763.97382218,376.45431189,-3.59576725,False
