domain,perturbation_family,perturbation_name,method,principal_seed,violation_step_rate,clean_violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,constraint_violation_rate,reward,clean_reward,reward_delta_from_clean,success_rate,clean_success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,interventions_while_grasped,source
autonomous_driving,heading_error,heading_error_plus_0p05,none,42,0.0,0.0,0.0,0.0,0.0,-13.339540888487933,-11.330714319001789,-2.0088265694861445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-none-seed-42.json
autonomous_driving,heading_error,heading_error_plus_0p05,none,456,0.33618233618233617,0.33352272727272725,0.0026596089096089237,0.05754985754985755,0.5037037037037037,-5.883910211940717,-7.549571968284115,1.6656617563433986,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-none-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,clipping,123,0.0,0.0,0.0,0.0,0.0,-5.585317868878727,-8.588031328756164,3.0027134598774374,0.0,0.0,0.0,0.83,0.2419669297337532,0.4249076843261719,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-clipping-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.41595745732496,-11.330714319001789,-0.08524313832317176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-clipping-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,clipping,456,0.0,0.0,0.0,0.0,0.0,0.2667322637360751,4.2810686987899205,-4.0143364350538455,1.0,1.0,0.0,0.4135,0.19871970278024673,0.5188966989517212,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-clipping-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-5.585317868878727,-8.588031328756164,3.0027134598774374,0.0,0.0,0.0,0.83,0.2419669297337532,0.4249076843261719,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-lyapunov-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-11.41595745732496,-11.330714319001789,-0.08524313832317176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-lyapunov-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,lyapunov,456,0.0,0.0,0.0,0.0,0.0,0.2667322637360751,4.2810686987899205,-4.0143364350538455,1.0,1.0,0.0,0.4135,0.19871970278024673,0.5188966989517212,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-lyapunov-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,none,123,0.83,0.839,-0.009000000000000008,0.0,0.83,-5.704623190728994,-8.72040274432206,3.015779553593066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-none-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,none,42,0.0,0.0,0.0,0.0,0.0,-11.41595745732496,-11.330714319001789,-0.08524313832317176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-none-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p05,none,456,0.3331438317225696,0.33352272727272725,-0.0003788955501576319,0.059124502558271744,0.4877771461057419,-10.956918171540417,-7.549571968284115,-3.407346203256302,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p05-none-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,clipping,123,0.0,0.0,0.0,0.0,0.0,-5.941620634513051,-8.588031328756164,2.646410694243113,0.0,0.0,0.0,0.807,0.23456178605556488,0.41004717350006104,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-clipping-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.540987603460955,-11.330714319001789,-0.21027328445916638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-clipping-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,clipping,456,0.0,0.0,0.0,0.0,0.0,-3.983753054347758,4.2810686987899205,-8.264821753137678,1.0,1.0,0.0,0.4135,0.1985332806110382,0.5186054706573486,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-clipping-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-5.941620634513051,-8.588031328756164,2.646410694243113,0.0,0.0,0.0,0.807,0.23456178605556488,0.41004717350006104,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-lyapunov-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-11.540987603460955,-11.330714319001789,-0.21027328445916638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-lyapunov-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,lyapunov,456,0.0,0.0,0.0,0.0,0.0,-3.983753054347758,4.2810686987899205,-8.264821753137678,1.0,1.0,0.0,0.4135,0.1985332806110382,0.5186054706573486,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-lyapunov-seed-456.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,none,123,0.8075,0.839,-0.03149999999999997,0.0,0.8075,-6.054800265335889,-8.72040274432206,2.6656024789861705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-none-seed-123.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,none,42,0.0,0.0,0.0,0.0,0.0,-11.540987603460955,-11.330714319001789,-0.21027328445916638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-none-seed-42.json
autonomous_driving,lane_offset,lane_offset_minus_0p10,none,456,0.3331438317225696,0.33352272727272725,-0.0003788955501576319,0.059124502558271744,0.48834565093803295,-14.601656637284771,-7.549571968284115,-7.052084669000656,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-minus-0p10-none-seed-456.json
