domain,perturbation_name,perturbation_family,method,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_violation_delta_from_clean,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,recovery_rate,within_filter_violation_reduction,mean_reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_perturbation_l2,mean_safety_correction_l2,p95_safety_correction_l2,environment_interface_adjustment_rate,strict_lyapunov_decrease_rate,selected_lower_than_perturbed_rate,steps_object_grasped,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate
autonomous_driving,acceleration_minus_0p10,acceleration,clipping,123,0.011,0.0,0.0,22,22,0,1.0,1.0,-8.63836974869046,-0.05033841993429533,0.0,0.0,0.011,0.10000000149011612,0.0030804740488529206,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,clipping,42,0.0,0.0,0.0,0,0,0,,,-11.299330807770902,0.031383511230886896,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,clipping,456,0.395,0.0,0.0,790,790,0,1.0,1.0,4.452393083246964,0.17132438445704334,1.0,0.0,0.395,0.10000000149011612,0.14996000799536705,0.4073084890842438,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,lyapunov,123,0.011,0.0,0.0,22,22,0,1.0,1.0,-8.63836974869046,-0.05033841993429533,0.0,0.0,0.011,0.10000000149011612,0.0030804740488529206,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,lyapunov,42,0.0,0.0,0.0,0,0,0,,,-11.299330807770902,0.031383511230886896,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,lyapunov,456,0.395,0.0,0.0,790,790,0,1.0,1.0,4.452393083246964,0.17132438445704334,1.0,0.0,0.395,0.10000000149011612,0.14996000799536705,0.4073084890842438,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,none,123,0.012,0.012,-0.827,24,0,24,0.0,0.0,-8.630308374104132,0.09009437021792799,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,none,42,0.0,0.0,0.0,0,0,0,,,-11.299330807770902,0.031383511230886896,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p10,acceleration,none,456,0.3086021505376344,0.3086021505376344,-0.024920576735092848,574,0,574,0.0,0.0,-3.2491668924425063,4.300405075841609,0.45,0.30000000000000004,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_minus_0p25,acceleration,clipping,123,0.0,0.0,0.0,0,0,0,,,-8.569067812150601,0.018963516605563058,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
