domain,method,actor_parameters,total_parameters,target_reach_count,target_total,normalized_auc_mean,normalized_auc_sd,best_progress_mean,best_progress_sd,final_progress_mean,final_progress_sd,compactness_vs_full_ppo_percent
autonomous_driving,full_ppo,1318,2567,3,3,0.5548114402144297,0.2646057407662727,1.0526315789473686,1.2819751242557092e-16,0.9952824582742731,0.05359814404275625,0.0
autonomous_driving,matched_classical,54,1303,0,3,-0.17455507295540038,0.20916746468168282,0.7002180251303894,0.2484199051239047,-0.04840735351602071,0.5893515673194776,95.90288315629742
autonomous_driving,hybrid_qml,54,1303,0,3,0.15991195170764086,0.4341965431725851,0.44182728158311746,0.4728741308073594,0.3272891488880778,0.42098348389390194,95.90288315629742
robotics,full_ppo,1382,2695,3,3,0.9229137368698397,0.03220700626307124,1.0526315789473686,0.0,1.0159038656954695,0.013049764495390644,0.0
robotics,matched_classical,62,1375,1,3,0.653060017016295,0.06408073551424327,0.9016516073636347,0.08765489483404237,0.8978076611459537,0.09093812823438237,95.5137481910275
robotics,hybrid_qml,62,1375,0,3,0.5739091206532141,0.19344567630901505,0.7585449886834624,0.23855667877731326,0.7585449886834624,0.23855667877731326,95.5137481910275
