principal_seed,none_violation_rate,clipping_violation_rate,lyapunov_violation_rate,lyapunov_relative_reduction_vs_none,none_reward,clipping_reward,lyapunov_reward,none_success_rate,clipping_success_rate,lyapunov_success_rate,clipping_intervention_rate,lyapunov_intervention_rate,clipping_mean_correction_l2,lyapunov_mean_correction_l2,lyapunov_nonincrease_rate,strict_lyapunov_decrease_rate,emergency_fallback_rate,mean_filter_latency_ms,p95_filter_latency_ms
42,0.0,0.0,0.0,,-11.330714319001789,-11.330714319001789,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.86092305,2.4403449999999993
123,0.839,0.0,0.0,1.0,-8.72040274432206,-8.588031328756164,-8.588031328756164,0.0,0.0,0.0,0.839,0.839,0.2459494072794914,0.2459494072794914,1.0,0.0,0.0,1.8997443,3.2742899999999997
456,0.33352272727272725,0.0,0.0,1.0,-7.549571968284115,4.2810686987899205,4.2810686987899205,0.15,1.0,1.0,0.4135,0.4135,0.19892772370576858,0.19892772370576858,1.0,0.0,0.0,2.07604765,3.147579999999999
