method,driving_target_reach,robotics_target_reach,target_consistency,driving_parameter_reduction_percent,robotics_parameter_reduction_percent,parameter_reduction_difference_percent,driving_step_reduction_percent,robotics_step_reduction_percent,efficiency_consistency,robust_cross_domain_efficiency
trainable_svd,3/3,0/3,mixed,11.971803252864966,22.83437692802478,10.862573675159815,-23.333333333333332,,none,False
trainable_tt_mps,0/3,0/3,weak,44.4636973444125,44.4636973444125,0.0,,,none,False
